"Item #","DESC 1","DESC 2","DESC 3","X-REF #","Weight","Retail","Dealer","On Hand"
"1195SA","ADV Sleeve                    ","YAMAHA VX250 TLRB 2003        ","250 EFI & Carb.               ",,1,151.25,113.48,2
"1202","Water Pump Kit w/ Housing     ","Force 85-125hp                ","85-125hp L-Drive 1989         ","FK1202-1            ",0.9,113.67,93.21,4
"12066","Starter Rope                  ","Mercury                       ",,"12066Q10, 12066Q9   ",0.133,11.73,9.62,2
"1210FSA","ADV Sleeve Bore 3.600""        ","Evinrude E-tec 150/175 Stbd   ","2007-2008                     ",,1.6,128.4871,98.3172,0
"12200-92E04U","Crankshaft Used               ","Suzuki DT150/175/200/225      ","1986-2003                     ","12200-92E04         ",30,1300,900,1
"1232FPB","ADV Sleeve w/port .020 over od","J/E 150/175 E-Tec PORT 2009-11","O.D. 3.820                    ",,2,199.45,149.65,1
"1233FPA","ADV Sleeve Port w Oil Groove  ","Evinrude E-tech 200hp 60º     ","3.600"" Bore 3.8 OD            ",,1.8,199.45,149.95,3
"1233FSA","ADV Sleeve STBD w Oil Groove  ","Evinrude E-tech 200hp 60º     ","3.600"" Bore 3.8 OD            ",,1.8,199.45,149.95,2
"1234","Test                          ",,,,0,0,0,0
"12352-1","Trigger, Mag 2 NLA            ","Chrysler                      ",,,2,82.3118,41.9873,0
"1236SB","Advanced Sleeve               ","Mercury Verado 150-200HP      ",,,1.8,113.5,85.16,0
"1237","Gasket, Exhaust               ","Johnson/Evinrude V6 150-235HP ",,"323222              ",0.1,6.32,3.79,4
"1247SA","Advanced Sleeve               ","Yamaha 3.3L HPDI 2007 & Up    ",,,2.5,151.25,113.48,2
"1252PSA","ADV Sleeve, STD PORT          ","Mercury 175HP Optimax         ",,,2,140.32,105.28,2
"1252PSB","ADV Sleeve, PORT              ","Mercury 175HP 2.5 Optimax     ",".020 OD                       ",,2,140.32,105.28,2
"1252SSA","ADV Sleeve, STD STAR          ","Mercury 175HP 2.5 Optimax     ",,,2,140.32,105.28,1
"1252SSB","ADV Sleeve, STAR              ","Mercury 175HP 2.5L            ",".020 OD                       ",,2,140.32,105.28,2
"1253FPA","Advanced Sleeve               ","BRP Etec 250-300HP HO 3.4L    ","2008-2012                     ",,1.6,199.45,149.65,3
"1253FSA","Advanced Sleeve               ","BRP Etec 250-300HP HO 3.4L    ","2008-2012                     ",,1.6,199.45,149.65,1
"1255SA","Sleeve                        ","Yamaha F300                   ",,,2,137.58,103.23,0
"1260SA","Advanced Sleeve w/o Notch     ","Mercury 40hp 2 Cyl 1994-04    ","Bore 2.993 OD 3.2 Len 5.585   ",,2,120.19,90.18,2
"1261SA","Sleeve                        ","Yam VF250 SHO 4.2liter        ",,,2,137.58,103.23,1
"12886","Switch, Oil Tank              ","Mercury 30-250hp 2cyl-3.0L    ",,"12886A6             ",0.1,30.5,25.01,25
"1300","Pro Piston Kit Std            ","Johnson Evinrude 85-235hp     ","1974-1998 Crossflow 3.500"" Bor","393271              ",2,70.9829,42.834,0
"1300HP","HP Piston Kit Std             ","Johnson/Evinrude Crossflow    ","Bore Size 3.500""              ",,2.2,164.5635,100.7329,0
"1300K4","Engine Rebuild Kit Standard   ","OMC V4 Crossflow 3.500""       ","1977 & Up                     ",,11,869.99,530,0
"1312A","Idle Air Control              ","Yamaha F115 F200 F225 3.3L    ",,"68V-1312A-00-00     ",1,100.9495,70.6495,8
"13141-1","Thermostat Kit 110°           ","Mercury 40-60hp 3cyl          ","97 & Later                    ","850055A2            ",0.4,64,53.12,25
"1320","Pro Piston Kit .020           ","Johnson Evinrude 85-235hp     ","1974-1998 Crossflow 3.520""Bore","438997              ",2.1,70.9829,49.5463,0
"1320HP","HP Piston Kit .020            ","Johnson/Evinrude Crossflow    ","Bore Size 3.520""              ",,2,133.6266,95.4283,0
"1320K4","Engine Rebuild Kit .020 Over  ","OMC V4 Crossflow 3.500""       ","1977-Up                       ",,11,869.99,530,0
"133-3533","Timer Base                    ","Johnson/Evinrude 185-225hp    ","1988-2000                     ","583533,763775,584586",0.9,565.46,352.21,14
"133-4586","Timer Base, Digital           ","Johnson/Evinrude 185 200 225hp","1988-2000                     ",,2,454.6745,231.9299,0
"133-4804","Timer Base                    ","Johnson/Evinrude 50-70hp 3cyl ","1993-1999                     ","584804,763773       ",1,286.93,175.33,8
"1330","Pro Piston Kit .030           ","Johnson Evinrude 85-235hp     ","1974-1998 Crossflow 3.530"" Bor","396585              ",2.1,82.9817,49.5463,0
"1330HP","HP Piston Kit                 ","Johnson/Evinrude Crossflow    ","Bore Size 3.530""              ",,2.2,164.5635,100.7329,0
"1330K4","Engine Rebuild Kit .030 Over  ","OMC V4 Crossflow 3.500""       ","1977-Up                       ",,11,869.99,530,0
"1340","Pro Piston Kit .040           ","Johnson Evinrude 85-235hp     ","1974-1998 Crossflow 3.540""Bore","438998              ",2.1,71.9828,42.834,0
"1340HP","HP Piston Kit .040            ","Johnson/Evinrude Crossflow    ","Bore Size 3.540""              ",,2.2,164.5635,100.7329,0
"1340K4","Engine Rebuild Kit .040 Over  ","OMC V4 Crossflow 3.500""       ","1977-Up                       ",,11,869.99,530,0
"1340R","Ring Kit, Piston  .040        ","Johnson/Evinrude 85-300hp     ","Bore Size 3.540               ",,0.05,55.38,33.23,21
"1343P","Retainer Tab, Bearing Carrier ","Johnson/Evinrude 90-300hp     ","Cobra 4cyl V6 V8 92-93        ","333957              ",0.05,31.99,19.19,1
"13536","Temp Sensor, 4 Wire           ","Mercury 135-225hp 2.0L 2.5L   ",,"13536A6             ",0.1,48.17,39.5,6
"13536A14","Temp Sensor, Stbd Head        ","Mercury 115-300 DFI 2.5L 3.0L ","SportJet 200, 240, 250 EFI DFI","13536A14            ",0.063,60.33,49.47,10
"13570","Thermostat Housing            ","Johnson/Evinrude 6-300hp      ","1992-2000                     ","336178              ",0.02,8.32,4.99,28
"13764P","Gasket, Injector              ","Yamaha HPDI 150-300           ","Takes 2 Per Injector          ","68F-13764-00-00     ",0.01,8.585,5.151,0
"13907","Fuel Pump, Electrical         ","Yamaha 50-90 4 Stroke 2005 &up","Mercury 75-100 4str 8M0065218 ","6C5-13907-00-00     ",0.8,293.8106,239.7847,0
"13907F","Filter, 13907-1 Fuel Pump     ","Yamaha 50-90 4 Stroke         ","Mercury 75-100 06-UP          ","881323001           ",0.05,62.9037,49.4442,0
"13914","Nut, 11-40140                 ",,,,0,0,0,0
"1406","Guide Tube, Water Pump        ","Johnson/Evinrude              ",,"331159              ",0.2,2.7402,1.6496,0
"14115","Fiber Washer, Engine Screws   ","Yamaha 40-300hp               ","F25-F300                      ","90430-14115         ",0.01,0.6091,0.375,0
"143187","Vertex Piston Ring Kit Std.   ","Johnson/Evinrude 3Cyl         ","Bore Size 3.187               ",,0.05,27.2598,16.6864,0
"143207","Vertex Piston Ring Kit .020   ","Johnson/Evinrude 3Cyl         ","Bore Size 3.207               ",,0.05,27.2598,16.6864,0
"143217","Vertex Piston Ring Kit .030   ","Johnson/Evinrude 3Cyl         ","Bore Size 3.217               ",,0.05,27.2598,16.6864,0
"1434","Fuel Pump Kit                 ","Johnson/Evinrude V4           ",,"393103              ",0.1,13.9265,8.5412,0
"1442","Fuel Pump - Outside VST       ","Yamaha F225-F350              ","2010 & Up                     ","6CB-24410-01-00     ",1,289.99,173.99,7
"145","Belt, Timing                  ","Mercury 75-115hp 4Stroke      ","Yamaha 75-115hp 4Stroke       ","57-804145           ",0.3,53.5145,32.9593,0
"1457","Grommet                       ","Johnson/Evinrude              ",,"878830              ",0.02,2.1208,1.3239,0
"1458","Seal Ring, Water Pump         ","Johnson/Evinrude              ","Part of 013                   ","332000              ",0.02,0.9239,0.5254,0
"1465","Voltage Regulator, 1 Red Wire ","Mercury 40-125hp              ","SportJet 210 Carb 175XR2      ","883072T             ",1,111.1362,69.3948,0
"1470-25","Sell 41470                    ",,,,0,0,0,0
"150-06192","Impeller Repair Kit           ","Tohatsu BFT115A/BFT150A       ",,"HZY6-06192-000      ",2,67.35,57.7285,2
"150-06193","Water Pump Kit, Complete      ","Tohatsu BFT115A/BFT150A       ",,"HZY6-06193-A01      ",2,205.87,176.4571,2
"150OPTIHG","Reman Powerhead Assembly      ","Mercury 150hp Optimax         ","Head Gasket Model             ","854008A98           ",150,3838,2500,1
"1500","Pro Piston Kit Std            ","Johnson/Evinrude 60-75 3Cyl   ","Bore Size 3.000               ","387284              ",1.2,75.6936,46.2851,0
"1500K","Engine Rebuild Kit Standard   ","OMC 3 Cyl 60-75HP             ","1976-1988 3.000"" Bore         ",,6,615.99,401.74,0
"1500V","ProV Piston Kit Std           ","Johnson/Evinrude 60-75 3Cyl   ","Bore Size 3.000               ","387284              ",1.2,79.982,48.9138,0
"15179911R","Air Compressor, Reman         ","Mercury 2.5L DFI Optimax      ","SportJet 200DFI               ","8M0060053           ",10.1,589.3411,429.4621,0
"1520","Pro Piston Kit .020           ","Johnson/Evinrude 60-75 3Cyl   ","Bore Size 3.020               ","387285              ",1.3,75.6936,46.2851,0
"1520K","Engine Rebuild Kit .020 Over  ","OMC 3 Cyl 60-75HP             ","1976-1988 3.000"" Bore         ",,6,615.99,401.74,0
"1520V","ProV Piston Kit .020          ","Johnson/Evinrude 60-75 3Cyl   ","Bore Size 3.020               ","387285              ",1.2,79.982,48.9138,0
"1530","Pro Piston Kit .030           ","Johnson/Evinrude 60-75 3Cyl   ","Bore Size 3.030               ","396583              ",1.2,75.6936,46.2851,0
"1530H","Pro Piston Kit .030           ","Johnson/Evinrude 3Cyl         ","Bore Size 3.030 HP Coating    ",,1.5,109.979,81.5978,0
"1530K","Engine Rebuild Kit .030 Over  ","OMC 3 Cyl 60-75HP             ","1976-1988 3.000"" Bore         ",,6,615.99,401.74,0
"1530V","ProV Piston Kit .030          ","Johnson/Evinrude 60-75 3Cyl   ","Bore Size 3.030               ","396583              ",1.2,79.982,48.9138,0
"153125","Vertex Piston Ring Kit Std.   ","Mercury 2.0L                  ","Bore Size 3.125               ",,0.05,27.2598,16.6864,0
"153140","Vertex Piston Ring Kit .015   ","Mercury 2.0L                  ","Bore Size 3.140               ",,0.05,27.2598,16.6864,0
"153155","Vertex Piston Ring Kit .030   ","Mercury 2.0L                  ","Bore Size 3.155               ",,0.05,27.2598,16.6864,0
"15388002P","Sensor, Map                   ","Mercury Verado 4 Stroke       ","Top of Cooler Manifold        ","8M6000639           ",0.1,147.99,103.47,0
"15410-88L00","Filter, Fuel                  ","Suzuki DF 40A-60A 2010-UP     ",,"15410-88L00         ",0.1,15.74,14.17,8
"15440-87L10P","Fuel Filter                   ","Suzuki                        ","DF70A/DF80A/DF90A  2009-Later ","15440-87L10         ",0,44.3348,28.1108,0
"15440-90J00P","Fuel Filter                   ","Suzuki                        ","DF90-DF140 2001-Later         ","15440-90J00         ",0,51.906,31.6368,0
"15440-96J01P","Fuel Filter                   ","Suzuki                        ","DF150-175 2006-Later          ","15440-96J01         ",0,59.4772,36.1795,0
"15446","Needle Valve Kit, Float VST   ","Mercury 150-300 EFI 2.5L 3.0L ","SportJet 240 EFI              ","15446               ",0.01,33.2467,27.1347,0
"1560","Relay, 12 VDC                 ","Volvo                         ",,"3841366             ",0.01,4.1208,2.222,1
"15930","Fuel Pump, Mechanical         ","Mercury 135-220 2.4L          ",,"15930A15            ",0.3,147.25,120.75,4
"1599","Gasket, Exhaust Cover         ","Johnson/Evinrude 40-50hp 2cyl ",,"325211              ",0.02,3.3456,2.3934,11
"1600PH","ProHP Piston Kit Port Std.    ","Yamaha V4 V6                  ","Bore Size 3.544               ","6G5-11642-00-93     ",1.6,133.6162,95.4283,0
"1600PV","ProV Piston Kit Port          ","Yamaha V4 V6                  ","Bore Size 3.544               ","6G5-11642-00-93     ",1.5,83.7711,51,0
"1600SH","ProHP Piston Kit Std Stbd     ","Yamaha V4 V6                  ","Bore Size 3.544               ","6G5-11631-00-93     ",1.6,133.6162,95.4283,0
"1600SV","ProV Piston Kit Std. Stbd     ","Yamaha V4 V6                  ","Bore Size 3.544               ","6G5-11631-00-93     ",1.5,83.7711,51,0
"1610P","Pro Piston Kit .10 Port       ","Yamaha V4 V6                  ",,,1.4,77.8566,47.4437,0
"1610S","Pro Piston Kit .010 STBD      ","Yamaha V4 V6                  ",,,1.4,77.8566,47.4437,0
"1620PH","ProHp Piston Kit .020 Port    ","Yamaha V4 V6                  ","Bore Size 3.564               ","6G5-11646-00-00     ",1.6,133.6162,95.4283,0
"1620PV","ProV Piston Kit .020 Port     ","Yamaha V4 V6                  ","Bore Size 3.564               ","6G5-11646-00-00     ",2,82.9417,50.495,0
"1620SH","ProHP Piston Kit .020 Stbd    ","Yamaha V4 V6                  ","Bore Size 3.564               ","6G5-11636-00-00     ",1.6,133.6162,95.4283,0
"16220","bushing                       ",,,,0,0,0,0
"16221-ZW2-000","Gasket, Carb Flange           ","Honda 40HP                    ",,"16221-ZW2-000       ",0.001,2.94,2.53,8
"16221-ZW4-000","Carb Gasket                   ","Honda 50HP                    ",,,0.01,3,2.49,18
"1624728","Screw Cyl Head w/Knob         ","Mercury 150,175,200 EFI       ",,"8274261             ",0.2,6,4,5
"163543","Vertex Piston Ring Kit        ","Yamaha v6                     ","Bore Size 3.543               ",,0.05,27.2598,16.6864,0
"163563","Vertex Piston Ring Kit        ","Yamaha v6                     ","Bore Size 3.563               ",,0.05,27.2598,16.6864,0
"1640P","Pro Piston Kit .040 Port      ","Yamaha V4 V6                  ","Bore Size 3.584               ",,1.5,71.9828,43.8643,0
"1640SH","ProHP Piston Kit .040 Stbd    ","Yamaha V4 V6                  ","Bore Size 3.584               ",,1.6,133.6162,95.4283,0
"1642","Fuel Pump Kit                 ","Johnson/Evinrude 40-225hp     ",,"432962              ",0.3,20.1879,12.4151,0
"16510-61A31","Oil Filter Assembly           ","Suzuki DF70-140  2006-UP      ",,"16510-61A31         ",2,21.04,17.88,29
"16600","Bearing Kit, Center Main wRace","Mercury 70-125 hp L3 L4       ","Double row, Needles & Race    ","42943A1             ",0.8,93.8906,47.8937,0
"167-1","Bearing Set, Center Main      ","Mercury 2.5L 1991-Up          ","OD 2.318"" ID 1-3/8"" No Lip    ","31-16756A6          ",0.5,69.893,44.5682,0
"16816","Bearing, Upper Main           ","Mercury 3.0L                  ",,"31-816773A2         ",1.1,120.0348,80.5438,0
"16901-ZY3-003","Filter, Fuel OEM              ","Honda Outboard                ","BF 115/130/135/150/175/200/225","16901-ZY3-003       ",0.06,14.71,10.84,41
"1691","Gasket Kit, Powerhead         ","Force 50hp 84-87              ","Chrysler 35-55 2cyl           ","FG1007-2            ",0.6,69.6325,42.232,0
"16911","Fuel Filter, OEM              ","Honda 75HP & Up 2000 - ^      ","Tohatsu 75-250 2014-2018      ","16911-ZY3-010       ",0,54.82,43.86,6
"17-T1A36","Ignition, Hitachi             ","Mariner, Yamaha               ",,,0.5,124.9875,81.608,0
"17-6G512","Ignition Pack, Terminal Style ","Yamaha 150-200hp V6           ",,"6G5-85540-12-00     ",1.5,939.34,590.84,3
"17151-ZV5-000","Gasket, Intake                ","Honda 50HP                    ",,"17151-ZV5-000       ",0.001,7.48,6.32,8
"17151-ZV7-000","Gasket, Intake                ","Honda 40HP                    ",,"17151-ZV7-000       ",0.01,13.58,10.87,3
"17151-ZW1-000","Gasket, Intake                ","Honda 75-90HP                 ",,"17151-ZW1-000       ",0.001,13.06,11.04,4
"17296N6","6                             ","Yamaha 115-130 V4             ",,"6N6-13200-00-00     ",2,182.3818,148.853,0
"173-1130","Coil, Magneto Driver          ","Johnson/Evinrude 18-25hp      ","1973-1976                     ","581130              ",0.2,59.69,35.74,3
"173-1505","Stator 12 Amp                 ","Johnson/Evinrude 150-200hp    ","1977-1978                     ","581505              ",2.8,141.9858,86.7085,0
"173-3050","Stator, 35amp NLA             ","Johnson/Evinrude              ",,"583668              ",4.3,407.9592,249.9245,0
"173-3104","Stator 9amp                   ","Johnson/Evinrude              ",,"581830              ",1.5,258.6941,157.9523,0
"173-3410","Stator, 9amp                  ","Johnson/Evinrude 120hp-140hp  ","1988 - 2001 V4 Loopers        ","583410              ",2.6,394.86,245.96,1
"173-3415","Stator, 35amp                 ","Johnson/Evinrude              ",,"584292              ",4.2,310.5799,189.9426,0
"173543","Vertex Piston Ring Kit        ","Yamaha 93 - Up                ","Bore Size 3.543               ",,0.05,27.2598,16.6864,0
"173563","Vertex Piston Ring Kit        ","Yamaha 93 - Up                ","Bore Size 3.563               ",,0.05,27.2598,16.6864,0
"173583","Vertex Piston Ring Kit        ","Yamaha 93 - Up                ","Bore Size 3.583               ",,0.05,27.2598,16.6864,0
"174-0002","Stator                        ","Mercury 135-200 2.5L          ","2000 & Up w/ CDMs             ","858404T4            ",5.1,727.04,457.3,5
"174-6119","Stator Coil Only              ","Mercury                       ",,,2.5,117.5882,71.9783,0
"17400-87L01"," Water Pump Repair  Kit OE    ","Suzuki DF70A / DF80A / DF90A  ","2009- Later                   ","17400-87L01         ",0,60.35,53.11,0
"17400-88L00","Water Pump Repair Kit OE      ","Suzuki DF40A/ DF50A / DF60A   ","2010 - Later                  ","17400-88L00         ",0,50.6,43.01,0
"17400-92J00","Water Pump Repair Kit OE      ","Suzuki DF90/DF100/DF115 /DF140",,"17400-92J00         ",2,60.35,51.3,14
"17400-92J00.","Water Pump Repair Kit OE      ","Suzuki DF90/DF100/DF115 /DF140",,"17400-92J00         ",0,50.95,41.82,0
"17400-94J00","Impeller Repair Kit OE        ","Suzuki   DF9.9 2007-2013      ","DF15 2007-2015                ","17400-94J00         ",0.5,27.21,23.936,1
"17400-94L00","Impeller Repair Kit OE        ","Suzuki DF25A/ DF30A           ","2015 - Later                  ","17400-94L00         ",0,49.26,43.34,2
"17400-95J00","Impeller Repair Kit OE        ","Suzuki  DF25 V-Twin           ","2006-2014                     ","17400-95J02         ",0,26.16,22.42,2
"17400-98863","Maintenance Kit OEM           ","Suzuki DF250A/300A 2011-Up    ",,,0,369.96,321.29,0
"17400-99E01","Water Pump Repair Kit OE      ","Suzuki DF60 / DF 70           ","2007-2010                     ","17400-99E01         ",0,68.89,56.83,0
"17400-99E10","Impeller Repair Kit OE        ","Suzuki DF50V / DF60V          ","2014 - Later                  ","17400-99E10         ",0,62.39,51.48,2
"174020","Circuit Breaker, 20 AMP       ","Surface Mount                 ",,,0,49.95,35.95,0
"174040","Circuit Breaker, 40 AMP       ","Surface Mount                 ",,,0,49.95,35.95,0
"174060","Circuit Breaker, 60 AMP       ","Surface Mount                 ",,,0,49.95,35.95,0
"174520","O Ring Kit, Tilt & Trim OEM   ","Johnson/Evinrude 35-55hp      ",,"172575              ",0.02,72.99,62.04,3
"1757","Key, Impeller                 ","Johnson/Evinrude              ",,,0.02,0.6614,0.3993,0
"176-3095B","Stator (Installed)            ","Force 2-5cyl                  ",,,2.8,217.5382,119.6639,0
"17670-90J21","Thermostat 50º 122ºF          ","Suzuki 4 Stroke Newer Models  ",,"17670-90J20         ",0.25,60.86,52.84,0
"17685","Gasket, Thermostat            ","Suzuki DT150-225 2001-03      ","DF40/50 2001-10               ","17685-87D10         ",0.3,3.06,2.68,6
"177-6E5-10","Stator                        ","Yamaha V4 115-130HP           ","1984-1989                     ","6E5-85510-10-00     ",3,639.82,394.7,3
"18-0021","Seal Kit, Gear Housing        ","Yamaha, C75 94-99, E75 95-00, ","P75 96-99, C80 97, C90 97-01, ","688-W0001-22-00     ",0.36,64.1536,38.3252,0
"18-0024","Seal Kit, Lower Gearcase      ","Yamaha E48 95-00, C55 89-94   ",,"698-W0001-21-00     ",0.32,70.353,42.2321,0
"18-0244","Gasket, Water Pump            ","Yamaha V4 V6                  ",,"6E5-44315-A0-00     ",0.02,5.2495,2.8971,0
"18-0754","Gasket, Thermostat Cover      ","Yamaha F2.5(2003-Later)       ","F4(2002-Later) F8(2006-Later) ","68D-E2414-A0-00     ",0.02,4.99,2.99,0
"18-1113","Bearing, Reverse Gear         ","Mercury 50-125hp 3-4cyls      ","Force 75-150hp B2812          ","12578T              ",0.2,36.07,21.64,0
"18-1116","Bearing, Pinion               ","Mercury                       ",,"31-35934A 1         ",0.5,41.9958,22.177,0
"18-1153","Bearing, Upper Driveshaft     ","Mercury                       ",,"30-63326            ",0.3,15.2818,9.7507,0
"18-1550","Gear Set Fwd/Pin 6Jaw 2.07    ","Mercury 75-125 DFI/4Stroke    ","1998-2006 w 881259 pinion     ","43-881260A3         ",3.6,469.79,385.22,0
"18-2143","Motor Mount Lower Solid       ","Mercury 135-200hp 2.0L-2.5L V6","150-225 Pro Max 2.5L Offshore ","78249, 816054       ",0.4,64.9835,39.0188,0
"18-2144","Motor Mount Upper Solid       ","Mercury 135-200hp 2.0L 2.5L V6",,"78687, 77698 1      ",0.3,64.9835,39.0188,0
"18-2208","Gear, Reverse                 ","Johnson/Evinrude 3 cyl        ",,"318304              ",2,321.5478,202.4899,0
"18-2225","Shim .004 Driveshaft          ","Johnson/Evinrude 40-75hp      ",,"320167              ",0.01,2.83,1.46,0
"18-2229","Shim Driveshaft .003          ","Johnson/Evinrude 85-300hp     ","OMC Stringer/Cobra  All Models","323362              ",0.1,3.4,1.7,0
"18-2230","Shim Driveshaft .004          ","Johnson/Evinrude 85-300hp     ","OMC Stringer/Cobra  All Models","323361              ",0.1,5.11,2.56,0
"18-2231","Shim Driveshaft .005          ","Johnson/Evinrude 85-300hp     ","OMC Stringer/Cobra  All Models","314745              ",0.1,5.11,2.56,0
"18-2237","Clutch Dog                    ","Mercury V6                    ","1997 & Below                  ","52-823174T          ",1,159.962,96.0447,0
"18-2239","Propshaft                     ","Mercury 135-225hp 2.0L 2.4L   ","135/150/175 DFI 200 EFI 2.5L  ","44-94148            ",4,513.3987,340.4507,0
"18-2252","Propshaft                     ","Johnson/Evinrude 88-115hp -'97","OMCStringer/Cobra4cyl w/1.125""","436888              ",3.6,466.65,279.99,0
"18-2255","Propshaft                     ","Mercury                       ",,"44-67886            ",3,430.6969,263.6346,0
"18-2290","Gear Set, Large Hole Reverse  ","Johnson/Evinrude V6           ",,,4.07,758.9241,458.9328,0
"18-2298","Tab Washer, Retainer Nut      ","Mercury 135-200hp V6          ",,"14-183231           ",0.1,20.428,11.3333,0
"18-2445","Trim System Complete          ","Johnson/Evinrude              ",,,15,1978.8021,1412.7059,0
"18-2700","Seal Kit, Steering Cylinder   ","Mercury, Verado               ",,"896173A01           ",1,102.52,62.42,0
"18-2725","Seal Kit, Lower Gearcase      ","Mercury, Verado               ",,"26-830749A01        ",0.5,46.4854,27.3387,0
"18-2870","Gasket, Exhaust Cover Old     ","Johnson/Evinrude 85-140hp     ","V4 Crossflow                  ","305176              ",0.02,8.4892,4.8047,0
"18-3000","Impeller, Water Pump          ","Suzuki DT8C/9.9C 89-97        ",,"17461-92D02         ",0.02,15.6914,8.8506,0
"18-3012","Impeller, Water Pump          ","Mercury                       ","3.5, 3.9, 5, 6HP              ","47-22748            ",1,13.6433,7.7684,0
"18-3035","Impeller, Water Pump          ","Suzuki DF200/DF250/DF300      ",,"17461-93J00         ",0.2,33.8195,19.7693,0
"18-3042","Impeller, Water Pump          ","Yamaha 75,80,90,100hp 4str    ","1999-2005                     ","67F-44352-00-00     ",0.1,45.2362,22.6411,0
"18-3049","Impeller, Water Pump          ","Suzuki DF60-70,90-100         ","J/E 60-70HP 2002-2006         ","17461-87E11         ",0.3,37.9862,22.7992,0
"18-3067","Impeller, Water Pump          ","Yamaha 25hp 1990-97           ","30hp 1985-89, C30 1991-92     ","689-44352-00-00     ",0.04,31.4869,16.0258,0
"18-3068","Impeller, Water Pump          ","Yamaha 30,40,50hp             ","F30, F40, F50                 ","6H4-44352-00-00     ",0.04,33.9866,16.6786,0
"18-3072"," Impeller                     ","Yam 2 HP 1986-2002            ","Mariner 2A, 2B 2 HP           ","646-44352-01-00     ",0.1,19.2729,9.8365,0
"18-3096","Impeller, Water Pump          ","Suzuki DF20-DF40C 1980-87     ","J/E  25-50HP 2000-03          ","17461-96301         ",0.2,25.99,15.57,0
"18-3097","Impeller, Water Pump          ","Suzuki DT4-8                  ","1984-02                       ","17461-98501         ",0.02,13.9886,8.5484,0
"18-3099","Impeller, Water Pump          ","Suzuki DF9.9-15               ","1997-04                       ","17461-93902         ",0.02,16.2628,9.7471,0
"18-3100","Impeller, Water Pump          ","Honda BF8D/9.9D               ","Short / Long Shaft            ","19210-ZW9-013       ",0.01,16.7942,10.0079,0
"18-32455","Impeller                      ","Honda 8 & 9.9HP 2001 & UP     ","15 & 20HP 2003 & UP           ","19210-ZW9-A32       ",0,22.2265,13.8443,0
"18-3279","Impeller Service Kit          ","Honda BF8A                    ",,"06192-881-C00       ",0.25,42.1877,25.3106,0
"18-3280","Impeller Service Kit          ","Honda  BF9.9A/BF15A           ","9.9 1999-2000 / 15 1999-2002  ","06192-ZV4-000       ",0.1,23.4926,14.0895,0
"18-3346","Wear Plate & Cup              ","Johnson/Evinrude V4 V6        ","Non-Stock                     ","338485              ",0.2,16.6883,9.9358,0
"18-3396","Water Pump Kit w/Housing      ","Yamaha 150-250hp V6           ",,"61A-W0078-A2-00     ",1.41,66.8533,40.2123,0
"18-3406","Water Pump Kit w/Housing      ","Verado                        ","Impeller, plate, gskt, housing","817275A08           ",1.5,82.4818,49.4646,0
"18-3407","Water Pump Housing Kit        ","Verado                        ","Housing, impeller & base only ","817275A09           ",1.5,85.9814,52.0047,0
"18-3415","Water Pump Kit w/ Housing     ","Yamaha 40/50,P40              ","C40,C50,F40,P50,F60           ","63D-W0078-01-00     ",0.8,56.49,35,19
"18-3432","Water Pump Kit w/Housing      ","Yamaha F25, C30               ","1998 & UP                     ","61N-W0078-11-00     ",0.6,37.89,23.87,0
"18-3433","Impeller Repair Kit           ","Yamaha 9.9/15 96-04 F15       ",,"63V-W0078-01-00     ",0.5,37.6262,22.8094,0
"18-3445","Seal Carrier, Driveshaft      ","Mercury 40-60hp               ",,"46-812966A 7        ",0.5,48.4852,29.0524,0
"18-3489","Impeller Repair Kit           ","Honda BF250                   ",,"06192-ZX2-C00       ",0.42,59.49,42.58,0
"18-3499","Diaphragm Kit                 ","Suzuki/OMC                    ",,"15170-99E00, 5030699",0.5,44.99,25.61,2
"18-3500","Thermostat 143º               ","Johnson/Evinrude 3cyl V6      ","3Cyl 86-93 V6 85-94           ","434137              ",0.06,26.4874,16.0768,0
"18-3623","Thermostat                    ","Yamaha 4LJ/SJ 1986/4LH/SH 1987","8MSH 2006-Later 4LG/SG 1988   ","6E5-12411-02-00     ",0.5,32.99,23.09,4
"18-3715","Prop Nut Kit                  ","Johnson/Evinrude 85-300hp     ","OMC String/Cobra w/ 3/4x16 Nut","398042              ",0.4,24.1576,13.6081,0
"18-3716","Prop Nut Kit                  ","Johnson/Evinrude 40-140hp     ","OMCString/Cobraw/ Large Case  ","175267              ",0.2,11.31,6.79,0
"18-3719","Nut, Pinion                   ","J/E85-300,Merc40-300VeradoL4L6","Cobra4cylV6V8,MCAlphaI&GenII  ","11-35921            ",0.03,4.1891,2.1422,0
"18-3849","Gasket, Cylinder Head         ","Yamaha 25HP 1990-1997         ","2 Cl.                         ","695-11181-00-00     ",0.5,26.49,16.22,1
"18-3914","Piston Rings .020             ","Johnson/Evinrude 3 3/16       ",,,0.06,31.1865,18.9796,0
"18-3954","Piston Ring Kit Std.          ","Yamaha  30Hp                  ","1993-1997                     ","689-11610-01-00     ",0.2,31.5168,22.5034,0
"18-3960","Ring Kit, Piston  Std.        ","Yamaha 3 Ring 40-50 HP        ","Bore Size 2.638               ","6H4-11610-00-00     ",0.05,51.49,31.78,14
"18-3971","Piston Ring Kit .020          ","Yamaha 2 Ring                 ","Bore Size 3.248               ","688-11605-00-00     ",0.03,30.4481,18.7515,0
